ID,CPU,MemUsage,NetIn,NetOut,Mem,PIDs
955279a62a41,0.29,1.766,5.26,3.33,0.02,8
955279a62a41,0.29,1.766,5.26,3.33,0.02,8
955279a62a41,0,1.766,5.26,3.33,0.02,8
955279a62a41,0,1.766,5.26,3.33,0.02,8
955279a62a41,0,1.766,5.26,3.33,0.02,8
955279a62a41,0,1.766,5.26,3.33,0.02,8
955279a62a41,0,1.766,5.26,3.33,0.02,8
955279a62a41,0,1.766,5.26,3.33,0.02,8
955279a62a41,0,1.766,5.26,3.33,0.02,8
955279a62a41,0,1.766,5.26,3.33,0.02,8
955279a62a41,0,1.766,5.26,3.33,0.02,8
955279a62a41,0,1.766,5.26,3.33,0.02,8
955279a62a41,0,1.766,5.26,3.33,0.02,8
955279a62a41,0,1.766,5.26,3.33,0.02,8
955279a62a41,0,1.766,5.26,3.33,0.02,8
955279a62a41,0,1.766,5.26,3.33,0.02,8
955279a62a41,0,1.766,5.26,3.33,0.02,8
955279a62a41,0,1.766,5.26,3.33,0.02,8
955279a62a41,79.27,1.902,5.63,3.47,0.02,8
955279a62a41,79.27,1.902,5.63,3.47,0.02,8
955279a62a41,33.14,1.855,5.83,3.8,0.02,8
955279a62a41,33.14,1.855,5.83,3.8,0.02,8
955279a62a41,0,1.855,5.83,3.8,0.02,8
955279a62a41,0,1.855,5.83,3.8,0.02,8
955279a62a41,0,1.855,5.83,3.8,0.02,8
955279a62a41,0,1.855,5.83,3.8,0.02,8
955279a62a41,71.43,1.996,6.2,3.94,0.03,8
955279a62a41,71.43,1.996,6.2,3.94,0.03,8
955279a62a41,41.17,1.859,6.4,4.27,0.02,8
955279a62a41,41.17,1.859,6.4,4.27,0.02,8
955279a62a41,0,1.859,6.4,4.27,0.02,8
955279a62a41,0,1.859,6.4,4.27,0.02,8
955279a62a41,0,1.859,6.4,4.27,0.02,8
955279a62a41,0,1.859,6.4,4.27,0.02,8
955279a62a41,5.49,1.996,6.78,4.41,0.03,8
955279a62a41,5.49,1.996,6.78,4.41,0.03,8
955279a62a41,100.37,1.996,6.78,4.41,0.03,8
955279a62a41,100.37,1.996,6.78,4.41,0.03,8
955279a62a41,7.37,1.863,6.98,4.74,0.02,8
955279a62a41,7.37,1.863,6.98,4.74,0.02,8
955279a62a41,80.23,2.004,7.36,4.88,0.03,8
955279a62a41,80.23,2.004,7.36,4.88,0.03,8
955279a62a41,31.76,1.879,7.56,5.21,0.02,8
955279a62a41,31.76,1.879,7.56,5.21,0.02,8
955279a62a41,0,1.879,7.56,5.21,0.02,8
955279a62a41,0,1.879,7.56,5.21,0.02,8
955279a62a41,0,1.879,7.56,5.21,0.02,8
955279a62a41,0,1.879,7.56,5.21,0.02,8
955279a62a41,35.14,2.016,7.94,5.35,0.03,8
955279a62a41,35.14,2.016,7.94,5.35,0.03,8
955279a62a41,76.4,1.891,8.14,5.68,0.02,8
955279a62a41,76.4,1.891,8.14,5.68,0.02,8
955279a62a41,29.61,2.027,8.52,5.82,0.03,8
955279a62a41,29.61,2.027,8.52,5.82,0.03,8
955279a62a41,82.5,1.965,8.71,6.15,0.03,8
955279a62a41,82.5,1.965,8.71,6.15,0.03,8
955279a62a41,48.73,2.105,9.1,6.29,0.03,8
955279a62a41,48.73,2.105,9.1,6.29,0.03,8
955279a62a41,61.04,1.965,9.29,6.62,0.03,8
955279a62a41,61.04,1.965,9.29,6.62,0.03,8
955279a62a41,66.46,2.102,9.67,6.76,0.03,8
955279a62a41,66.46,2.102,9.67,6.76,0.03,8
955279a62a41,46.31,1.973,9.87,7.09,0.03,8
955279a62a41,46.31,1.973,9.87,7.09,0.03,8
955279a62a41,85.66,2.109,10.3,7.23,0.03,8
955279a62a41,85.66,2.109,10.3,7.23,0.03,8
955279a62a41,23.87,1.977,10.4,7.56,0.03,8
955279a62a41,23.87,1.977,10.4,7.56,0.03,8
955279a62a41,94.62,2.113,10.8,7.7,0.03,8
955279a62a41,94.62,2.113,10.8,7.7,0.03,8
955279a62a41,38.9,2.117,11.4,8.17,0.03,8
955279a62a41,38.9,2.117,11.4,8.17,0.03,8
955279a62a41,83.56,2,11.6,8.5,0.03,8
955279a62a41,83.56,2,11.6,8.5,0.03,8
955279a62a41,0,2,11.6,8.5,0.03,8
955279a62a41,0,2,11.6,8.5,0.03,8
955279a62a41,0,2,11.6,8.5,0.03,8
955279a62a41,0,2,11.6,8.5,0.03,8
955279a62a41,0,2,11.6,8.5,0.03,8
955279a62a41,0,2,11.6,8.5,0.03,8
955279a62a41,0,2,11.6,8.5,0.03,8
955279a62a41,0,2,11.6,8.5,0.03,8
955279a62a41,45.01,2.129,12,8.64,0.03,8
955279a62a41,45.01,2.129,12,8.64,0.03,8
955279a62a41,62.97,2,12.2,8.97,0.03,8
955279a62a41,62.97,2,12.2,8.97,0.03,8
955279a62a41,52.25,2.027,12.5,9.11,0.03,8
955279a62a41,52.25,2.027,12.5,9.11,0.03,8
955279a62a41,56.21,2.023,12.7,9.44,0.03,8
955279a62a41,56.21,2.023,12.7,9.44,0.03,8
955279a62a41,0,2.023,12.7,9.44,0.03,8
955279a62a41,0,2.023,12.7,9.44,0.03,8
955279a62a41,0,2.023,12.7,9.44,0.03,8
